Positive,Negative,Neutral,Mixed,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,automated_readability_index,coleman_liau_index,linsear_write_formula,lexicon_count,sentence_count
0.4793297052383423,0.02359318546950817,0.448831170797348,0.04824597388505936,72.36,7.1,8.85,8.0,8.41,8.7,79,5
0.15553154051303864,0.05437776818871498,0.5606135725975037,0.22947709262371063,57.47,8.7,12.75,10.4,12.46,8.583333333333334,83,6
0.1148381158709526,0.018795548006892204,0.6661632657051086,0.20020313560962677,47.28,10.5,13.08,11.7,13.28,10.583333333333334,93,6
0.027631107717752457,0.0092385895550251,0.9628773927688599,0.0002528202021494508,41.46,10.7,13.6,11.4,13.85,8.857142857142858,90,7
0.8365573287010193,0.0002776860783342272,0.16301727294921875,0.0001476573816034943,73.98,6.5,8.03,8.3,9.5,7.75,85,6
0.646186888217926,0.00041226419853046536,0.35250356793403625,0.0008972844807431102,49.75,11.6,13.05,12.5,11.02,13.6,107,5
0.34382614493370056,0.001184252556413412,0.6531907916069031,0.0017988203326240182,42.31,12.4,13.26,12.1,11.2,14.4,102,5
0.3479563295841217,0.000564399641007185,0.6505640149116516,0.0009152430575340986,44.54,11.6,13.43,11.6,11.84,12.9,91,5
0.6831606030464172,0.012836452573537827,0.11014235019683838,0.19386060535907745,88.84,2.8,3.89,1.1,2.1,3.3571428571428568,55,7
0.5326960682868958,0.016109831631183624,0.16230393946170807,0.28889012336730957,66.74,7.2,9.3,6.3,7.58,7.666666666666666,78,6
0.8775151968002319,0.0006015506223775446,0.12038274109363556,0.0015004869783297181,66.84,7.1,8.72,8.3,9.85,7.357142857142858,90,7
0.5581853985786438,0.0010295577812939882,0.4217097759246826,0.01907527633011341,59.9,7.7,7.06,9.9,12.45,6.142857142857143,80,7
0.9364140629768372,0.0002992286754306406,0.06269704550504684,0.0005896217189729214,86.91,3.6,4.74,2.7,4.09,4.6,98,10
0.8415858745574951,0.0010867849923670292,0.1561216562986374,0.0012057027779519558,89.99,4.5,7.36,5.0,4.92,6.571428571428571,121,8
0.8122520446777344,0.0013070645509287715,0.1813698410987854,0.0050709983333945274,73.07,6.8,8.68,7.1,7.59,7.2857142857142865,106,7
0.9535552859306335,0.0004883529618382454,0.04099338501691818,0.004963019862771034,78.08,7.0,11.0,8.4,7.72,12.0,111,6
0.11682292073965073,0.044026341289281845,0.8363844156265259,0.0027663111686706543,81.63,5.6,8.29,6.0,6.31,7.2857142857142865,105,7
0.15629620850086212,0.000611875846516341,0.8427255153656006,0.00036636358709074557,57.98,8.5,9.82,9.2,10.83,8.0,80,6
0.414947509765625,0.017104273661971092,0.16446295380592346,0.4034852385520935,56.55,9.0,11.33,10.3,11.71,8.833333333333334,88,6
0.01286278199404478,0.00025435976567678154,0.9868371486663818,4.5713877625530586e-05,64.0,8.2,12.24,10.3,11.37,10.416666666666666,94,6
0.9966337084770203,9.238298662239686e-05,0.003162530716508627,0.00011131067003589123,87.01,3.5,4.47,2.4,3.74,4.428571428571429,68,7
0.9957926273345947,0.00020972182392142713,0.003506030421704054,0.000491561833769083,64.1,8.2,9.91,8.7,9.34,7.857142857142858,109,7
0.6506089568138123,0.0005279970937408507,0.3468652069568634,0.001997877610847354,43.12,12.1,12.74,13.1,12.82,13.0,98,5
0.6779055595397949,0.00019671241170726717,0.32099875807762146,0.000899027509149164,52.39,10.6,13.05,12.0,11.84,12.2,94,5
0.4638599157333374,0.007359459064900875,0.44592878222465515,0.08285190165042877,69.92,8.0,9.04,9.5,9.23,10.5,91,5
0.06132566183805466,0.008404029533267021,0.799572229385376,0.13069812953472137,47.49,10.4,12.64,11.0,12.17,10.666666666666666,92,6
0.049068015068769455,0.003737621009349823,0.9237398505210876,0.023454496636986732,26.1,14.5,17.37,15.1,15.26,16.166666666666668,59,3
0.07769982516765594,0.0007254781085066497,0.9213582873344421,0.00021632116113323718,23.56,15.5,19.11,16.3,15.2,16.4,133,6
0.9940999150276184,0.0004646142479032278,0.0005841991514898837,0.004851229023188353,90.29,4.3,7.72,4.9,4.92,7.416666666666666,89,6
0.7535852193832397,0.007989447563886642,0.00567004457116127,0.23275522887706757,76.82,5.4,6.56,4.8,5.9,6.0,80,7
0.9940781593322754,0.0004804698401130736,0.0021334663033485413,0.003307995619252324,62.07,9.0,9.77,8.2,7.83,11.2,88,5
0.9995978474617004,8.010574674699455e-05,0.00018794114293996245,0.00013415519788395613,92.53,3.5,5.95,2.1,2.65,5.714285714285714,88,7
0.9867247343063354,0.0014849045546725392,0.010801834054291248,0.0009884439641609788,91.11,4.0,7.89,4.4,4.92,6.8,70,5
0.998479425907135,0.00011083242861786857,0.0013350805966183543,7.471812568837777e-05,75.2,6.0,7.25,4.5,5.32,6.666666666666667,78,6
0.9995996356010437,4.0257535147247836e-05,0.00032687082421034575,3.324661520309746e-05,83.46,4.9,7.31,4.7,5.38,6.416666666666667,79,6
0.9973752498626709,5.785149915027432e-05,0.000441571552073583,0.0021252704318612814,71.14,7.6,10.09,7.6,7.42,10.1,85,5
0.9986404776573181,4.715191971627064e-05,0.0012134788557887077,9.891977242659777e-05,72.16,7.2,9.4,6.8,6.9,8.6,80,5
0.9978861212730408,0.00014458951773121953,0.001884293626062572,8.507448364980519e-05,75.5,5.9,7.19,4.2,5.09,6.333333333333333,76,6
0.9943708777427673,0.0002162035380024463,0.003659929847344756,0.001752981566824019,72.16,7.2,7.9,5.6,5.57,8.2,80,5
0.9955772161483765,0.0002245348587166518,0.004021028056740761,0.0001772840623743832,55.84,9.3,10.84,7.4,8.12,10.3,77,5
0.9993484616279602,7.714379171375185e-05,0.0004941288498230278,8.021906978683546e-05,82.85,5.1,7.84,4.9,5.39,6.9,69,5
0.9995574355125427,0.00011226252536289394,0.0002626444911584258,6.770099571440369e-05,80.21,6.1,8.51,5.8,5.57,8.6,82,5
0.9994096755981445,5.0262191507499665e-05,0.00045201819739304483,8.802045340416953e-05,73.58,6.6,9.13,6.9,7.65,7.699999999999999,73,5
0.9988747239112854,5.081784911453724e-05,0.0004450154083315283,0.00062941899523139,73.78,6.5,9.09,6.4,7.13,7.800000000000001,72,5
0.9740782380104065,0.0003459470171947032,0.0023081873077899218,0.023267598822712898,72.97,6.9,8.71,6.4,6.6,8.0,76,5
0.9886720180511475,0.00012734413030557334,0.011103054508566856,9.769140160642564e-05,77.23,5.2,7.43,4.7,6.48,5.666666666666667,66,6
0.9991648197174072,8.905844151740894e-05,0.0007103575044311583,3.569664477254264e-05,47.18,10.6,10.86,9.8,10.9,10.4,78,5
0.999568521976471,3.1877912988420576e-05,0.0003772256022784859,2.2363981770467944e-05,67.35,6.9,7.54,6.7,8.4,6.0,62,5
0.9991999268531799,7.236636884044856e-05,0.0006916421698406339,3.598131661419757e-05,81.22,5.8,7.72,5.3,5.45,7.699999999999999,77,5
0.9985122084617615,4.4651751522906125e-05,0.0013809165684506297,6.226199184311554e-05,74.79,6.2,7.75,6.4,7.76,6.7,67,5
0.9986891150474548,6.031374869053252e-05,0.0011961550917476416,5.433383194031194e-05,75.0,6.1,8.31,6.6,7.76,7.199999999999999,66,5
0.9993730187416077,9.76048395386897e-05,0.00016753081581555307,0.00036191867548041046,73.17,6.8,9.73,5.6,5.73,8.1,75,5
0.9994258880615234,3.904435288859531e-05,0.00048272969434037805,5.2331593906274065e-05,82.65,5.2,6.17,6.6,7.65,6.6,70,5
0.9937061667442322,0.00016343493189197034,0.006074078846722841,5.634731496684253e-05,92.53,3.5,5.67,2.9,3.58,5.5,63,5
0.9994919300079346,6.25376560492441e-05,0.0003837557742372155,6.174020381877199e-05,82.85,5.1,8.42,5.2,6.02,7.1,69,5
0.9876973032951355,0.000312944408506155,0.011688911356031895,0.00030080389115028083,57.87,8.5,8.35,8.3,9.91,8.1,67,5
0.9304659366607666,0.0002588063362054527,0.0017723939381539822,0.06750288605690002,81.83,5.5,7.0,4.8,4.86,7.4,74,5
0.9954894185066223,0.00015946848725434393,0.004097417928278446,0.00025372052914462984,67.96,6.7,8.66,5.9,7.7,6.083333333333333,71,6
0.9997429251670837,3.566790837794542e-05,0.0001875499583547935,3.389553239685483e-05,61.46,9.2,11.68,9.1,8.7,12.3,91,5
0.9672818779945374,0.000219355191802606,0.031443651765584946,0.0010551103623583913,80.41,6.1,8.46,6.3,6.15,7.9,81,5
